id,dateid,timeid,trading_symbol,comp_sentiment
514,28,361,BTC,-0.5574
515,28,421,BTC,0.7906
516,28,481,BTC,0.5267
517,29,1,BTC,0.3721
518,29,601,BTC,-0.0008
519,29,661,BTC,0.4266
520,29,721,BTC,0.328
521,29,781,BTC,0.4266
522,29,841,BTC,0.328
523,29,901,BTC,0.0015
524,29,961,BTC,0.0015
525,29,1021,BTC,-0.0009
526,29,1081,BTC,-0.0008
527,29,1141,BTC,0.0017
528,29,61,BTC,0
529,29,1201,BTC,0.0015
530,29,1261,BTC,0.0078
531,29,1321,BTC,0.9985
532,29,1381,BTC,0.2268
533,29,121,BTC,-0.2064
534,29,181,BTC,0
535,29,241,BTC,0.997
536,29,301,BTC,0.0015
537,29,361,BTC,0.9325
538,29,421,BTC,0.0015
539,29,481,BTC,-0.0008
540,29,541,BTC,0.0015
541,30,1,BTC,-0.1998
542,30,601,BTC,0.3433
543,30,661,BTC,0.3115
544,30,721,BTC,0.0675
545,30,781,BTC,0.6249
546,30,961,BTC,-0.0862
547,30,1021,BTC,0.9882
548,30,1081,BTC,-0.7906
549,30,1141,BTC,-0.0212
550,30,61,BTC,0.5719
551,30,1261,BTC,0.3499
552,30,121,BTC,0.9682
553,30,241,BTC,-0.0007
554,30,301,BTC,-0.0007
555,30,361,BTC,-0.5574
556,30,421,BTC,-0.5574
557,31,601,BTC,-0.9993
558,31,661,BTC,-0.4512
559,31,721,BTC,0.0064
560,31,781,BTC,-0.2726
561,31,841,BTC,0.6124
562,31,901,BTC,0.3246
563,31,961,BTC,0.7906
564,31,1021,BTC,-0.2407
565,31,1081,BTC,-0.9993
566,31,1141,BTC,0.4331
567,31,61,BTC,0.997
568,31,1201,BTC,-0.9325
569,31,181,BTC,0.7906
570,31,301,BTC,0.997
571,31,541,BTC,0.5574
572,32,601,BTC,-0.9968
573,32,661,BTC,0.3688
574,32,721,BTC,0.9712
575,32,781,BTC,0.0113
576,32,841,BTC,-0.9993
577,32,901,BTC,0.9818
578,32,961,BTC,0.0982
579,32,1021,BTC,0.9682
580,32,1081,BTC,-0.0481
581,32,1141,BTC,-0.6705
582,32,61,BTC,0.4108
583,32,1201,BTC,0.5994
584,32,1261,BTC,0.5267
585,32,1321,BTC,0.2268
586,32,241,BTC,0.4723
587,32,361,BTC,-0.5574
588,32,421,BTC,0.1131
589,32,481,BTC,0.055
590,32,541,BTC,0.6124
591,33,1,BTC,0.2488
592,33,61,BTC,-0.6808
593,33,121,BTC,-0.5859
594,33,181,BTC,-0.6705
595,33,301,BTC,-0.9997
596,33,361,BTC,-0.6705
597,33,421,BTC,0.9477
598,33,541,BTC,-0.3371
599,35,721,BTC,0.5046
600,35,781,BTC,-0.001
601,35,841,BTC,0.9682
602,35,901,BTC,0.4199
603,35,961,BTC,0.9985
604,35,1021,BTC,0.9985
605,35,1081,BTC,0.2312
606,35,1201,BTC,0.9628
607,35,1261,BTC,0.997
608,35,1321,BTC,0.0082
609,35,1381,BTC,0.5994
610,36,1,BTC,0.9325
611,36,601,BTC,0.9682
612,36,721,BTC,-0.0011
613,36,781,BTC,0.743
614,36,841,BTC,0.9781
615,36,1201,BTC,0.8934
616,36,1261,BTC,0.9682
617,36,1321,BTC,0.7964
618,36,1381,BTC,0.2047
619,36,241,BTC,0.9001
620,36,301,BTC,-0.765
621,36,481,BTC,0.071
622,36,541,BTC,-0.0339
623,37,1,BTC,0.9325
624,37,601,BTC,0.9985
625,37,721,BTC,0.3876
626,37,781,BTC,0.0086
627,37,841,BTC,0.0377
628,37,901,BTC,0.0448
629,37,961,BTC,0.9957
630,37,1021,BTC,0.4098
631,37,1081,BTC,0.3873
632,37,1141,BTC,0.9682
633,37,1201,BTC,0.6369
634,37,1261,BTC,0.9758
635,37,1321,BTC,0.9758
636,37,1381,BTC,0.7096
637,37,121,BTC,0.997
