time,close,compound,sma,ema
2021-02-05 13:00:00,38272.32,0.7430,0.5001,0.3932
2021-02-05 14:00:00,38095.02,0.9781,0.5240,0.5015
2021-02-05 15:00:00,37960.76,None,0.5240,0.5015
2021-02-05 16:00:00,37809.55,None,0.5240,0.5015
2021-02-05 17:00:00,37894.61,None,0.5240,0.5015
2021-02-05 18:00:00,37406.23,None,0.5240,0.5015
2021-02-05 19:00:00,37608.92,None,0.5240,0.5015
2021-02-05 20:00:00,37740.39,0.8934,0.5416,0.6207
2021-02-05 21:00:00,37819.67,0.9682,0.5610,0.7110
2021-02-05 22:00:00,37784.12,0.7964,0.5712,0.7307
2021-02-05 23:00:00,38290.24,0.2047,0.5560,0.6201
2021-02-06 00:00:00,38740.92,0.9325,0.5710,0.6811
2021-02-06 01:00:00,38806.45,None,0.5710,0.6811
2021-02-06 02:00:00,39382.1,0.9970,0.5874,0.7463
2021-02-06 03:00:00,39384.74,-0.8308,0.5349,0.4431
2021-02-06 04:00:00,39179.56,0.9853,0.5510,0.5415
2021-02-06 05:00:00,39014.73,None,0.5510,0.5415
2021-02-06 06:00:00,39267.47,0.6166,0.5532,0.5561
2021-02-06 07:00:00,39359.12,None,0.5532,0.5561
2021-02-06 08:00:00,39425.02,None,0.5532,0.5561
2021-02-06 09:00:00,39887.91,0.9549,0.5666,0.6479
2021-02-06 10:00:00,39998.63,0.9985,0.5805,0.7215
2021-02-06 11:00:00,40199.99,None,0.5805,0.7215
2021-02-06 12:00:00,39902.49,0.3876,0.5768,0.6486
2021-02-06 13:00:00,40130.47,0.0086,0.5771,0.5198
2021-02-06 14:00:00,40268.44,0.0377,0.5471,0.4289
2021-02-06 15:00:00,40864.73,0.0448,0.5350,0.3603
2021-02-06 16:00:00,40608.76,0.9957,0.5349,0.4689
2021-02-06 17:00:00,40197.01,0.4098,0.5159,0.4592
2021-02-06 18:00:00,40276.41,0.3873,0.5209,0.4477
2021-02-06 19:00:00,40179.42,0.9682,0.5349,0.5287
2021-02-06 20:00:00,40087.4,0.6369,0.5247,0.5451
2021-02-06 21:00:00,40028.19,0.9758,0.5241,0.6095
2021-02-06 22:00:00,39992.77,0.9758,0.5543,0.6633
2021-02-06 23:00:00,39186.94,0.7096,0.5577,0.6700
2021-02-07 00:00:00,39564.17,None,0.5456,0.6700
2021-02-07 01:00:00,38627.36,None,0.5456,0.6700
2021-02-07 02:00:00,38747.31,0.5719,0.5465,0.6522
2021-02-07 03:00:00,38841.46,None,0.5465,0.6522
2021-02-07 04:00:00,38312.99,None,0.5351,0.6522
2021-02-07 05:00:00,38511.0,-0.0027,0.5596,0.5089
2021-02-07 06:00:00,38531.35,None,0.5596,0.5089
2021-02-07 07:00:00,39030.0,None,0.5596,0.5089
2021-02-07 08:00:00,39496.96,-0.5423,0.5399,0.2446
2021-02-07 09:00:00,39513.92,0.3669,0.5528,0.2721
2021-02-07 10:00:00,39331.42,0.9918,0.5536,0.4204
2021-02-07 11:00:00,39046.6,0.9682,0.5665,0.5256
2021-02-07 12:00:00,38820.87,0.7906,0.5913,0.5737
2021-02-07 13:00:00,38629.26,None,0.5864,0.5737
2021-02-07 14:00:00,38214.98,0.4000,0.5677,0.5399
2021-02-07 15:00:00,37921.11,0.4178,0.5630,0.5175
2021-02-07 16:00:00,38185.72,0.3873,0.5577,0.4948
2021-02-07 17:00:00,37870.62,None,0.5577,0.4948
2021-02-07 18:00:00,38239.1,None,0.5577,0.4948
2021-02-07 19:00:00,38050.0,None,0.5577,0.4948
2021-02-07 20:00:00,38471.95,None,0.5472,0.4948
2021-02-07 21:00:00,38530.33,None,0.5336,0.4948
2021-02-07 22:00:00,38797.02,None,0.5249,0.4948
2021-02-07 23:00:00,38795.69,None,0.5359,0.4948
2021-02-08 00:00:00,38725.4,None,0.5217,0.4948
2021-02-08 01:00:00,38521.72,None,0.5217,0.4948
2021-02-08 02:00:00,38249.0,None,0.5041,0.4948
2021-02-08 03:00:00,38076.06,None,0.5555,0.4948
2021-02-08 04:00:00,38584.7,None,0.5383,0.4948
2021-02-08 05:00:00,38677.47,0.2273,0.5263,0.3534
2021-02-08 06:00:00,39012.69,0.9719,0.5400,0.5877
2021-02-08 07:00:00,39269.95,0.9823,0.5564,0.7078
2021-02-08 08:00:00,39175.38,None,0.5564,0.7078
2021-02-08 09:00:00,38954.27,0.7506,0.5488,0.7201
2021-02-08 10:00:00,39418.71,None,0.5315,0.7201
2021-02-08 11:00:00,39423.08,-0.2719,0.5018,0.4450
2021-02-08 12:00:00,42984.07,0.9819,0.5238,0.5751
2021-02-08 13:00:00,42897.12,0.9985,0.5604,0.6677
2021-02-08 14:00:00,43558.73,0.4412,0.5754,0.6221
2021-02-08 15:00:00,43716.32,0.9990,0.6107,0.6931
2021-02-08 16:00:00,43170.24,0.9985,0.6108,0.7477
2021-02-08 17:00:00,43079.07,0.9990,0.6326,0.7907
2021-02-08 18:00:00,42673.49,0.3082,0.6297,0.7112
2021-02-08 19:00:00,43051.95,0.9682,0.6297,0.7522
2021-02-08 20:00:00,44151.07,0.9984,0.6431,0.7905
2021-02-08 21:00:00,44632.41,0.6486,0.6310,0.7689
2021-02-08 22:00:00,44682.76,None,0.6177,0.7689
2021-02-08 23:00:00,46374.87,None,0.6140,0.7689
2021-02-09 00:00:00,46768.22,0.9826,0.6282,0.8094
2021-02-09 01:00:00,46158.97,None,0.6282,0.8094
2021-02-09 02:00:00,45707.38,None,0.6305,0.8094
2021-02-09 03:00:00,46599.51,None,0.6305,0.8094
2021-02-09 04:00:00,46837.57,None,0.6305,0.8094
2021-02-09 05:00:00,46850.12,None,0.6569,0.8094
2021-02-09 06:00:00,48111.18,0.9792,0.6698,0.8619
2021-02-09 07:00:00,47505.4,None,0.6698,0.8619
2021-02-09 08:00:00,47109.51,None,0.7203,0.8619
2021-02-09 09:00:00,46401.3,0.9732,0.7455,0.8977
2021-02-09 10:00:00,45641.77,None,0.7348,0.8977
2021-02-09 11:00:00,46380.92,0.9984,0.7361,0.9279
2021-02-09 12:00:00,45300.17,0.9818,0.7444,0.9418
2021-02-09 13:00:00,46285.14,0.9682,0.7538,0.9478
2021-02-09 14:00:00,46624.44,0.9682,0.7774,0.9521
2021-02-09 15:00:00,46773.63,0.9682,0.8004,0.9552
2021-02-09 16:00:00,46470.85,0.9995,0.8259,0.9633
2021-02-09 17:00:00,46483.67,-0.0784,0.7897,0.7817
2021-02-09 18:00:00,47012.77,0.1153,0.7638,0.6700
2021-02-09 19:00:00,47060.18,0.9081,0.7691,0.7086
2021-02-09 20:00:00,47084.17,0.3280,0.7534,0.6487
2021-02-09 21:00:00,47231.03,0.0000,0.7274,0.5489
2021-02-09 22:00:00,46839.01,0.2586,0.7118,0.5052
2021-02-09 23:00:00,46420.42,0.4879,0.7045,0.5026
2021-02-10 00:00:00,46517.64,0.4879,0.6978,0.5005
2021-02-10 01:00:00,46259.97,0.0164,0.6771,0.4307
2021-02-10 02:00:00,46276.51,-0.9682,0.6287,0.2312
2021-02-10 03:00:00,46221.07,0.4049,0.6223,0.2558
2021-02-10 04:00:00,46020.4,0.0136,0.6054,0.2218
2021-02-10 05:00:00,46131.99,0.0136,0.5995,0.1928
2021-02-10 06:00:00,46510.25,0.9985,0.6002,0.3043
2021-02-10 07:00:00,46563.69,0.9818,0.6002,0.3976
2021-02-10 08:00:00,46668.89,0.9818,0.6105,0.4777
2021-02-10 09:00:00,46550.0,0.8934,0.6144,0.5345
2021-02-10 10:00:00,46630.17,0.7430,0.6178,0.5629
2021-02-10 11:00:00,46586.56,None,0.6418,0.5629
2021-02-10 12:00:00,45652.34,None,0.6324,0.5629
2021-02-10 13:00:00,45626.32,None,0.6219,0.5629
2021-02-10 14:00:00,44954.12,None,0.6272,0.5629
2021-02-10 15:00:00,44353.04,None,0.6160,0.5629
2021-02-10 16:00:00,44746.66,None,0.6040,0.5629
2021-02-10 17:00:00,44963.31,None,0.5913,0.5629
2021-02-10 18:00:00,45088.17,None,0.6007,0.5629
2021-02-10 19:00:00,45190.05,None,0.5880,0.5629
2021-02-10 20:00:00,44555.59,None,0.5734,0.5629
2021-02-10 21:00:00,44999.09,None,0.5706,0.5629
2021-02-10 22:00:00,45199.99,None,0.5706,0.5629
2021-02-10 23:00:00,44807.58,None,0.5706,0.5629
2021-02-11 00:00:00,44250.0,0.5267,0.5537,0.5447
2021-02-11 01:00:00,44180.86,0.9682,0.5685,0.7001
2021-02-11 02:00:00,44582.07,None,0.5685,0.7001
2021-02-11 05:00:00,44641.72,-0.9970,0.4283,-0.2961
2021-02-11 06:00:00,44559.99,None,0.4099,-0.2961
2021-02-11 07:00:00,44700.01,None,0.4099,-0.2961
2021-02-11 08:00:00,45017.02,0.9371,0.4269,0.0367
2021-02-11 09:00:00,45500.98,None,0.4087,0.0367
2021-02-11 10:00:00,46279.8,None,0.4087,0.0367
2021-02-11 11:00:00,46061.49,0.8885,0.4051,0.2864
2021-02-11 12:00:00,46516.39,0.9970,0.4056,0.4660
2021-02-11 13:00:00,47555.46,0.9682,0.4056,0.5794
2021-02-11 14:00:00,47864.81,0.9990,0.4066,0.6661
2021-02-11 15:00:00,47960.85,-0.1282,0.3700,0.5132
2021-02-11 16:00:00,47590.53,0.9970,0.3700,0.6011
2021-02-11 17:00:00,47366.42,0.9970,0.4058,0.6697
2021-02-11 18:00:00,47653.14,0.3178,0.4126,0.6111
2021-02-11 19:00:00,47754.03,0.3504,0.3940,0.5690
2021-02-11 20:00:00,47027.49,0.9990,0.4163,0.6365
2021-02-11 21:00:00,46884.84,-0.0252,0.4155,0.5351
2021-02-11 22:00:00,47712.94,0.9682,0.4391,0.6002
2021-02-11 23:00:00,47969.51,-0.9682,0.3906,0.3684
2021-02-12 00:00:00,47990.0,0.0044,0.3745,0.3153
2021-02-12 01:00:00,48477.5,0.3924,0.3870,0.3264
2021-02-12 02:00:00,47935.66,-0.0244,0.4185,0.2765
2021-02-12 03:00:00,47587.31,None,0.4189,0.2765
